date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-09-09,sh.600000,7.2700,7.3400,7.2400,7.3100,7.2400,32423037,236986664.9300,3,0.110500,1,0.966900,0
2022-09-13,sh.600000,7.2800,7.3600,7.2700,7.3500,7.3100,23795140,174338448.0000,3,0.081100,1,0.547200,0
2022-09-14,sh.600000,7.2900,7.3400,7.2700,7.2800,7.3500,18649011,136014993.7400,3,0.063500,1,-0.952400,0
2022-09-15,sh.600000,7.2900,7.3700,7.2800,7.3200,7.2800,31940343,233945046.6400,3,0.108800,1,0.549500,0
2022-09-16,sh.600000,7.3000,7.3200,7.1400,7.1400,7.3200,33979138,245252583.8700,3,0.115800,1,-2.459000,0
2022-09-19,sh.600000,7.1600,7.2000,7.1000,7.1600,7.1400,22388073,160021576.5700,3,0.076300,1,0.280100,0
2022-09-20,sh.600000,7.1600,7.1800,7.1000,7.1100,7.1600,22247046,158496620.2400,3,0.075800,1,-0.698300,0
2022-09-21,sh.600000,7.1000,7.1600,7.0800,7.1300,7.1100,20026161,142605615.8800,3,0.068200,1,0.281300,0
2022-09-22,sh.600000,7.1100,7.1400,7.0800,7.1200,7.1300,19540404,138786681.5400,3,0.066600,1,-0.140300,0
2022-09-23,sh.600000,7.1200,7.1800,7.0900,7.1600,7.1200,21806262,155805817.2300,3,0.074300,1,0.561800,0
2022-09-26,sh.600000,7.1200,7.1700,7.0500,7.0600,7.1600,29503476,209607846.6600,3,0.100500,1,-1.396600,0
2022-09-27,sh.600000,7.0400,7.0900,7.0200,7.0700,7.0600,20128163,142035077.2300,3,0.068600,1,0.141600,0
2022-09-28,sh.600000,7.0500,7.1200,7.0200,7.0800,7.0700,25197590,178257967.4900,3,0.085800,1,0.141400,0
2022-09-29,sh.600000,7.1100,7.1300,6.9500,6.9900,7.0800,37072647,260386962.1000,3,0.126300,1,-1.271200,0
2022-09-30,sh.600000,7.0200,7.0700,6.9900,7.0400,6.9900,21572691,151907573.3900,3,0.073500,1,0.715300,0
2022-10-10,sh.600000,7.0400,7.0900,7.0100,7.0300,7.0400,20028296,141308416.0000,3,0.068200,1,-0.142000,0
2022-10-11,sh.600000,7.0700,7.0800,7.0000,7.0100,7.0300,18613647,130804312.0300,3,0.063400,1,-0.284500,0
2022-10-12,sh.600000,7.0100,7.0500,6.9600,7.0500,7.0100,20354488,142570655.0900,3,0.069300,1,0.570600,0
2022-10-13,sh.600000,7.0300,7.0400,6.9700,7.0000,7.0500,24107256,168676264.3200,3,0.082100,1,-0.709200,0
2022-10-14,sh.600000,7.0300,7.0700,7.0100,7.0300,7.0000,27342763,192757732.6700,3,0.093200,1,0.428600,0
2022-10-17,sh.600000,7.0500,7.0500,7.0000,7.0200,7.0300,20616536,144892075.7700,3,0.070200,1,-0.142200,0
2022-10-18,sh.600000,7.0400,7.0600,7.0100,7.0200,7.0200,21908675,154099279.6200,3,0.074600,1,0.000000,0
2022-10-19,sh.600000,7.0200,7.0400,6.9700,6.9700,7.0200,17988215,125873057.6700,3,0.061300,1,-0.712300,0
2022-10-20,sh.600000,6.9700,7.0000,6.9600,6.9700,6.9700,19765093,137810612.9400,3,0.067300,1,0.000000,0
2022-10-21,sh.600000,6.9900,7.0200,6.9100,6.9200,6.9700,24567888,170868902.5300,3,0.083700,1,-0.717400,0
2022-10-24,sh.600000,6.9300,6.9400,6.8000,6.8100,6.9200,38610105,265091387.6200,3,0.131500,1,-1.589600,0
2022-10-25,sh.600000,6.8800,6.8800,6.8000,6.8400,6.8100,26539881,181269047.4800,3,0.090400,1,0.440500,0
2022-10-26,sh.600000,6.8300,6.8600,6.8000,6.8200,6.8400,20377311,139135071.2400,3,0.069400,1,-0.292400,0
2022-10-27,sh.600000,6.8300,6.8700,6.8100,6.8200,6.8200,21293652,145765770.2300,3,0.072500,1,0.000000,0
2022-10-28,sh.600000,6.8400,6.8700,6.7500,6.8000,6.8200,28234295,192577659.8700,3,0.096200,1,-0.293300,0
2022-10-31,sh.600000,6.7300,6.7500,6.6300,6.6400,6.8000,32237373,215102267.5700,3,0.109800,1,-2.352900,0
2022-11-01,sh.600000,6.6800,6.7400,6.6500,6.7400,6.6400,27035074,181314549.4500,3,0.092100,1,1.506000,0
2022-11-02,sh.600000,6.7000,6.7400,6.6600,6.7100,6.7400,24034116,160891463.4900,3,0.081900,1,-0.445100,0
2022-11-03,sh.600000,6.7100,6.7100,6.6400,6.6600,6.7100,21251911,141624735.1400,3,0.072400,1,-0.745200,0
2022-11-04,sh.600000,6.6500,6.8000,6.6400,6.7900,6.6600,32665677,220460181.1200,3,0.111300,1,1.952000,0
2022-11-07,sh.600000,6.7500,6.8300,6.7400,6.8100,6.7900,16269623,110507706.4300,3,0.055400,1,0.294600,0
2022-11-08,sh.600000,6.8300,6.8300,6.7700,6.7900,6.8100,15282862,103708976.9100,3,0.052100,1,-0.293700,0
